id_resultado;id_amostra;codigo_amostra;data_coleta;hora_coleta;id_tipo_amostra;tipo_amostra;id_ponto_coleta;ponto_coleta;tipo_ponto;municipio;estado;id_responsavel;responsavel;id_status;status_amostra;id_parametro;parametro;categoria_parametro;valor_resultado;unidade_medida;data_analise;metodo_analise;id_limite;valor_minimo;valor_maximo;referencia_normativa;classificacao_resultado;possui_limite_referencia;indicador_nao_conforme
1;1;QA-2026-001;2026-04-01;08:10:00;1;Agua Bruta;1;Captacao Rio Norte;Captacao superficial;Cuiaba;MT;3;Fernanda Lima;3;Concluida;1;pH;Fisico-quimico;7.2000;;2026-04-04;Metodo didatico;1;6.0000;9.0000;Limite didatico do projeto;Conforme;1;0
2;1;QA-2026-001;2026-04-01;08:10:00;1;Agua Bruta;1;Captacao Rio Norte;Captacao superficial;Cuiaba;MT;3;Fernanda Lima;3;Concluida;2;Turbidez;Fisico-quimico;120.0000;NTU;2026-04-04;Metodo didatico;2;;100.0000;Limite didatico do projeto;Acima do limite maximo;1;1
3;1;QA-2026-001;2026-04-01;08:10:00;1;Agua Bruta;1;Captacao Rio Norte;Captacao superficial;Cuiaba;MT;3;Fernanda Lima;3;Concluida;3;Oxigenio Dissolvido;Fisico-quimico;5.8000;mg/L;2026-04-04;Metodo didatico;3;4.0000;;Limite didatico do projeto;Conforme;1;0
4;1;QA-2026-001;2026-04-01;08:10:00;1;Agua Bruta;1;Captacao Rio Norte;Captacao superficial;Cuiaba;MT;3;Fernanda Lima;3;Concluida;4;DBO;Materia organica;8.0000;mg/L;2026-04-04;Metodo didatico;4;;10.0000;Limite didatico do projeto;Conforme;1;0
5;1;QA-2026-001;2026-04-01;08:10:00;1;Agua Bruta;1;Captacao Rio Norte;Captacao superficial;Cuiaba;MT;3;Fernanda Lima;3;Concluida;5;DQO;Materia organica;25.0000;mg/L;2026-04-04;Metodo didatico;5;;30.0000;Limite didatico do projeto;Conforme;1;0
6;1;QA-2026-001;2026-04-01;08:10:00;1;Agua Bruta;1;Captacao Rio Norte;Captacao superficial;Cuiaba;MT;3;Fernanda Lima;3;Concluida;6;Coliformes Termotolerantes;Microbiologico;500.0000;NMP/100mL;2026-04-04;Metodo didatico;;;;;Sem limite de referencia;0;
7;1;QA-2026-001;2026-04-01;08:10:00;1;Agua Bruta;1;Captacao Rio Norte;Captacao superficial;Cuiaba;MT;3;Fernanda Lima;3;Concluida;7;Temperatura;Fisico-quimico;27.0000;C;2026-04-04;Metodo didatico;6;15.0000;35.0000;Limite didatico do projeto;Conforme;1;0
8;1;QA-2026-001;2026-04-01;08:10:00;1;Agua Bruta;1;Captacao Rio Norte;Captacao superficial;Cuiaba;MT;3;Fernanda Lima;3;Concluida;8;Condutividade;Fisico-quimico;420.0000;uS/cm;2026-04-04;Metodo didatico;7;;750.0000;Limite didatico do projeto;Conforme;1;0
9;1;QA-2026-001;2026-04-01;08:10:00;1;Agua Bruta;1;Captacao Rio Norte;Captacao superficial;Cuiaba;MT;3;Fernanda Lima;3;Concluida;9;Solidos Totais;Solidos;300.0000;mg/L;2026-04-04;Metodo didatico;8;;500.0000;Limite didatico do projeto;Conforme;1;0
10;1;QA-2026-001;2026-04-01;08:10:00;1;Agua Bruta;1;Captacao Rio Norte;Captacao superficial;Cuiaba;MT;3;Fernanda Lima;3;Concluida;10;Nitrogenio Amoniacal;Nutrientes;2.0000;mg/L;2026-04-04;Metodo didatico;9;;3.7000;Limite didatico do projeto;Conforme;1;0
11;1;QA-2026-001;2026-04-01;08:10:00;1;Agua Bruta;1;Captacao Rio Norte;Captacao superficial;Cuiaba;MT;3;Fernanda Lima;3;Concluida;11;Fosforo Total;Nutrientes;0.1200;mg/L;2026-04-04;Metodo didatico;;;;;Sem limite de referencia;0;
